PaymentID,StudentID,Amount,PaymentDate,Semester,Year,Method
"PAY-1","STU-2023001","96972.93","2023-08-26","Fall","2023","Online Gateway"
"PAY-2","STU-2023001","104151.02","2023-01-01","Spring","2023","Bank Transfer"
"PAY-3","STU-2023001","99061.05","2024-08-20","Fall","2024","Online Gateway"
"PAY-4","STU-2023002","81586.98","2023-08-27","Fall","2023","Online Gateway"
"PAY-5","STU-2023002","114826.3","2023-01-15","Spring","2023","Online Gateway"
"PAY-6","STU-2023002","107374.94","2024-08-27","Fall","2024","Online Gateway"
"PAY-7","STU-2023003","81953.59","2023-08-17","Fall","2023","Demand Draft"
"PAY-8","STU-2023003","108886.99","2023-01-25","Spring","2023","Bank Transfer"
"PAY-9","STU-2023003","85640.74","2024-08-16","Fall","2024","Demand Draft"
"PAY-10","STU-2023003","85588.81","2024-01-11","Spring","2024","Bank Transfer"
"PAY-11","STU-2023004","83194.66","2023-08-19","Fall","2023","Bank Transfer"
"PAY-12","STU-2023004","122176.29","2023-01-11","Spring","2023","Online Gateway"
"PAY-13","STU-2023004","84395.16","2024-08-14","Fall","2024","Bank Transfer"
"PAY-14","STU-2023004","86057.73","2024-01-08","Spring","2024","Demand Draft"
"PAY-15","STU-2023005","115710.44","2023-08-11","Fall","2023","Online Gateway"
"PAY-16","STU-2023005","116824.76","2023-01-02","Spring","2023","Online Gateway"
"PAY-17","STU-2023005","95477.3","2024-08-29","Fall","2024","Demand Draft"
"PAY-18","STU-2023005","112705.83","2024-01-19","Spring","2024","Demand Draft"
"PAY-19","STU-2023006","104526.6","2023-08-02","Fall","2023","Demand Draft"
"PAY-20","STU-2023006","98592.61","2023-01-26","Spring","2023","Bank Transfer"
"PAY-21","STU-2023006","84724.25","2024-08-08","Fall","2024","Online Gateway"
"PAY-22","STU-2023007","111047.11","2023-08-13","Fall","2023","Online Gateway"
"PAY-23","STU-2023008","93519.59","2023-08-28","Fall","2023","Bank Transfer"
